ticker,rank,entry_time,entry_price,shares,entry_cost,exit_time,exit_price,proceeds,pnl,return,model_score
SH601918,2,2026-06-02 09:35:00,11.3100004196167,2900,32815.40071749687,2026-06-03 15:00:00,11.260000228881836,32637.67366342545,-177.72705407142348,-0.00541596476610029,0.9392104744911194
SZ002428,3,2026-06-02 09:35:00,81.73999786376953,400,32712.347145080566,2026-06-03 15:00:00,88.98999786376953,35578.20114593506,2865.854000854495,0.08760771546426538,0.8595916628837585
SH603690,5,2026-06-02 09:35:00,24.479999542236328,1300,31839.91140460968,2026-06-03 15:00:00,25.649999618530273,33328.32700433731,1488.415599727632,0.04674685117095345,0.7771499156951904
SH603330,2,2026-06-04 09:35:00,8.550000190734863,4000,34217.10076332092,2026-06-05 15:00:00,8.609999656677246,34422.77862739563,205.67786407470703,0.006010967016094604,1.3620432615280151
SZ002119,4,2026-06-04 09:35:00,23.3799991607666,1400,32748.364824485776,2026-06-05 15:00:00,24.829999923706055,34744.61889324188,1996.254068756105,0.06095736625187209,1.2434560060501099
SZ002856,5,2026-06-04 09:35:00,26.780000686645508,1200,32152.068824386595,2026-06-05 15:00:00,25.700000762939453,30824.580915069582,-1327.487909317013,-0.041287791356994896,1.2296403646469116
